gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,heraldkills,oppheraldkills,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Blue,ADC,Betty,Royal Never Give Up,Miss Fortune,Qiyana,Rumble,Elise,Fiora,Camille,48.48333333,0,0,1,0,1,7, , , , , ,, , ,0,0.020625645,0.165005156, ,,4,4,,,,,,,,,,,,,,,5,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Blue,Jungle,XLB,Royal Never Give Up,Lee Sin,Qiyana,Rumble,Elise,Fiora,Camille,48.48333333,0,1,2,0,1,7, , , , , ,, , ,0.020625645,0.041251289,0.165005156, ,,4,4,,,,,,,,,,,,,,,5,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Blue,Middle,xiaohu,Royal Never Give Up,LeBlanc,Qiyana,Rumble,Elise,Fiora,Camille,48.48333333,0,0,1,0,1,7, , , , , ,, , ,0,0.020625645,0.165005156, ,,4,4,,,,,,,,,,,,,,,5,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Blue,Support,Ming,Royal Never Give Up,Morgana,Qiyana,Rumble,Elise,Fiora,Camille,48.48333333,0,0,2,0,1,7, , , , , ,, , ,0,0,0.165005156, ,,4,4,,,,,,,,,,,,,,,5,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Blue,Top,Langx,Royal Never Give Up,Aatrox,Qiyana,Rumble,Elise,Fiora,Camille,48.48333333,0,0,1,1,1,7, , , , , ,, , ,0,0.061876934,0.165005156, ,,4,4,,,,,,,,,,,,,,,5,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Red,ADC,jinjiao,Bilibili Gaming,Aphelios,Akali,Lucian,Mordekaiser,Shen,Rakan,48.48333333,1,1,0,2,7,1, , , , , ,, , ,0.020625645,0,0.165005156, ,,4,4,,,,,,,,,,,,,,,9,5,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Red,Jungle,Meteor,Bilibili Gaming,Gragas,Akali,Lucian,Mordekaiser,Shen,Rakan,48.48333333,1,2,0,1,7,1, , , , , ,, , ,0.041251289,0.020625645,0.165005156, ,,4,4,,,,,,,,,,,,,,,9,5,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Red,Middle,FoFo,Bilibili Gaming,Lissandra,Akali,Lucian,Mordekaiser,Shen,Rakan,48.48333333,1,1,0,3,7,1, , , , , ,, , ,0.020625645,0,0.165005156, ,,4,4,,,,,,,,,,,,,,,9,5,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Red,Support,XinMo,Bilibili Gaming,Leona,Akali,Lucian,Mordekaiser,Shen,Rakan,48.48333333,1,0,0,3,7,1, , , , , ,, , ,0,0,0.165005156, ,,4,4,,,,,,,,,,,,,,,9,5,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-112Royal Never Give UpBilibili Gaming,,LPL,2020-1, ,1,2,10.01,1,Red,Top,kingen,Bilibili Gaming,Gangplank,Akali,Lucian,Mordekaiser,Shen,Rakan,48.48333333,1,3,1,1,7,1, , , , , ,, , ,0.061876934,0,0.165005156, ,,4,4,,,,,,,,,,,,,,,9,5,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
