gameid,date,league,split,side,week,side,position,player,team,gamelength,result,k,d,a,teamkills,teamdeaths,cs,fpts
1092386,43617.77995,LCS,2019-2,Blue,1,Blue,Team,Team,Clutch Gaming,38.88333333,0,9,14,16,9,14,1281,9.0
1092386,43617.77995,LCS,2019-2,Red,1,Red,Team,Team,OpTic Gaming,38.88333333,1,14,9,34,14,9,1276,21.0
1092401,43617.82647,LCS,2019-2,Blue,1,Blue,Top,Hauntzer,Golden Guardians,28.6,1,2,1,4,10,2,258,18.16
1092401,43617.82647,LCS,2019-2,Blue,1,Blue,Jungle,Contractz,Golden Guardians,28.6,1,3,0,5,10,2,152,22.04
1092401,43617.82647,LCS,2019-2,Blue,1,Blue,Middle,Froggen,Golden Guardians,28.6,1,4,0,4,10,2,316,26.32
1092401,43617.82647,LCS,2019-2,Blue,1,Blue,ADC,Deftly,Golden Guardians,28.6,1,0,1,8,10,2,293,20.86
1092401,43617.82647,LCS,2019-2,Blue,1,Blue,Support,Olleh,Golden Guardians,28.6,1,1,0,9,10,2,62,22.24
1092401,43617.82647,LCS,2019-2,Red,1,Red,Top,Solo,Echo Fox,28.6,0,0,1,1,2,10,244,5.88
1092401,43617.82647,LCS,2019-2,Red,1,Red,Jungle,Rush,Echo Fox,28.6,0,0,4,2,2,10,145,2.9
1092401,43617.82647,LCS,2019-2,Red,1,Red,Middle,Yusui,Echo Fox,28.6,0,1,2,0,2,10,246,5.92
1092401,43617.82647,LCS,2019-2,Red,1,Red,ADC,Lost,Echo Fox,28.6,0,0,1,2,2,10,297,8.940000000000003
1092401,43617.82647,LCS,2019-2,Red,1,Red,Support,Hakuho,Echo Fox,28.6,0,1,2,1,2,10,65,4.3
1092401,43617.82647,LCS,2019-2,Blue,1,Blue,Team,Team,Golden Guardians,28.6,1,10,2,30,10,2,1081,27.0
1092401,43617.82647,LCS,2019-2,Red,1,Red,Team,Team,Echo Fox,28.6,0,2,10,6,2,10,997,4.0
1092577,43618.7205,LCS,2019-2,Blue,1,Blue,Top,Ssumday,100 Thieves,34.31666667,0,1,2,3,6,9,243,11.86
1092577,43618.7205,LCS,2019-2,Blue,1,Blue,Jungle,Amazing,100 Thieves,34.31666667,0,0,3,6,6,9,171,12.42
1092577,43618.7205,LCS,2019-2,Blue,1,Blue,Middle,Soligo,100 Thieves,34.31666667,0,2,3,1,6,9,234,9.68
1092577,43618.7205,LCS,2019-2,Blue,1,Blue,ADC,Bang,100 Thieves,34.31666667,0,2,1,2,6,9,316,15.32
1092577,43618.7205,LCS,2019-2,Blue,1,Blue,Support,aphromoo,100 Thieves,34.31666667,0,1,0,3,6,9,20,9.4
1092577,43618.7205,LCS,2019-2,Red,1,Red,Top,Dhokla,OpTic Gaming,34.31666667,1,4,4,3,9,7,295,19.9
1092577,43618.7205,LCS,2019-2,Red,1,Red,Jungle,Meteos,OpTic Gaming,34.31666667,1,2,1,5,9,7,171,18.42
1092577,43618.7205,LCS,2019-2,Red,1,Red,Middle,Crown,OpTic Gaming,34.31666667,1,1,0,6,9,7,320,21.4
1092577,43618.7205,LCS,2019-2,Red,1,Red,ADC,Arrow,OpTic Gaming,34.31666667,1,2,0,5,9,7,332,22.64
1092577,43618.7205,LCS,2019-2,Red,1,Red,Support,Big,OpTic Gaming,34.31666667,1,0,2,3,9,7,58,5.16
1092577,43618.7205,LCS,2019-2,Blue,1,Blue,Team,Team,100 Thieves,34.31666667,0,6,9,15,6,9,984,10.0
1092577,43618.7205,LCS,2019-2,Red,1,Red,Team,Team,OpTic Gaming,34.31666667,1,9,7,22,9,7,1176,15.0
1092561,43618.68152,LCS,2019-2,Blue,1,Blue,Top,Broken Blade,Team SoloMid,30.48333333,1,6,3,4,17,10,277,28.54
1092561,43618.68152,LCS,2019-2,Blue,1,Blue,Jungle,Grig,Team SoloMid,30.48333333,1,4,2,9,17,10,170,31.4
1092561,43618.68152,LCS,2019-2,Blue,1,Blue,Middle,Bjergsen,Team SoloMid,30.48333333,1,3,2,9,17,10,241,29.82
1092561,43618.68152,LCS,2019-2,Blue,1,Blue,ADC,Zven,Team SoloMid,30.48333333,1,2,1,13,17,10,144,35.88
1092561,43618.68152,LCS,2019-2,Blue,1,Blue,Support,Smoothie,Team SoloMid,30.48333333,1,2,2,12,17,10,98,31.96
1092561,43618.68152,LCS,2019-2,Red,1,Red,Top,Ruin,Counter Logic Gaming,30.48333333,0,3,3,3,10,17,256,17.12
1092561,43618.68152,LCS,2019-2,Red,1,Red,Jungle,Wiggily,Counter Logic Gaming,30.48333333,0,2,3,5,10,17,137,15.74
1092561,43618.68152,LCS,2019-2,Red,1,Red,Middle,PowerOfEvil,Counter Logic Gaming,30.48333333,0,1,3,4,10,17,259,13.18
1092561,43618.68152,LCS,2019-2,Red,1,Red,ADC,Stixxay,Counter Logic Gaming,30.48333333,0,3,3,1,10,17,275,13.5
1092561,43618.68152,LCS,2019-2,Red,1,Red,Support,Biofrost,Counter Logic Gaming,30.48333333,0,1,5,6,10,17,23,10.46
1092561,43618.68152,LCS,2019-2,Blue,1,Blue,Team,Team,Team SoloMid,30.48333333,1,17,10,47,17,10,930,16.0
1092561,43618.68152,LCS,2019-2,Red,1,Red,Team,Team,Counter Logic Gaming,30.48333333,0,10,17,19,10,17,950,7.0
1092552,43618.64521,LCS,2019-2,Blue,1,Blue,Top,Solo,Echo Fox,28.6,1,6,1,3,11,8,275,28.5
1092552,43618.64521,LCS,2019-2,Blue,1,Blue,Jungle,Rush,Echo Fox,28.6,1,1,2,8,11,8,146,19.92
1092552,43618.64521,LCS,2019-2,Blue,1,Blue,Middle,Yusui,Echo Fox,28.6,1,1,2,3,11,8,240,11.8
1092552,43618.64521,LCS,2019-2,Blue,1,Blue,ADC,Lost,Echo Fox,28.6,1,3,1,4,11,8,261,21.22
1092552,43618.64521,LCS,2019-2,Blue,1,Blue,Support,Hakuho,Echo Fox,28.6,1,0,2,6,11,8,73,11.46
1092552,43618.64521,LCS,2019-2,Red,1,Red,Top,Impact,Team Liquid,28.6,0,1,3,4,8,11,207,12.14
1092552,43618.64521,LCS,2019-2,Red,1,Red,Jungle,Xmithie,Team Liquid,28.6,0,6,3,2,8,11,157,22.14
1092552,43618.64521,LCS,2019-2,Red,1,Red,Middle,Jensen,Team Liquid,28.6,0,1,2,3,8,11,266,12.32
1092552,43618.64521,LCS,2019-2,Red,1,Red,ADC,Doublelift,Team Liquid,28.6,0,0,2,6,8,11,320,16.4
1092552,43618.64521,LCS,2019-2,Red,1,Red,Support,CoreJJ,Team Liquid,28.6,0,0,1,8,8,11,15,15.3
1092552,43618.64521,LCS,2019-2,Blue,1,Blue,Team,Team,Echo Fox,28.6,1,11,8,24,11,8,995,12.0
1092552,43618.64521,LCS,2019-2,Red,1,Red,Team,Team,Team Liquid,28.6,0,8,11,23,8,11,965,14.0
1092552,43639.66404,LCS,2019-2,Blue,4,Blue,Top,Impact,Team Liquid,29.08333333,1,1,2,8,17,8,234,21.68
1092552,43639.66404,LCS,2019-2,Blue,4,Blue,Jungle,Xmithie,Team Liquid,29.08333333,1,6,0,10,17,8,193,41.86
1092552,43639.66404,LCS,2019-2,Blue,4,Blue,Middle,Jensen,Team Liquid,29.08333333,1,5,2,2,17,8,264,22.28
1092552,43639.66404,LCS,2019-2,Blue,4,Blue,ADC,Doublelift,Team Liquid,29.08333333,1,5,2,9,17,8,171,34.42
1092552,43639.66404,LCS,2019-2,Blue,4,Blue,Support,CoreJJ,Team Liquid,29.08333333,1,0,2,11,17,8,119,24.38
1092552,43639.66404,LCS,2019-2,Red,4,Red,Top,Huni,Clutch Gaming,29.08333333,0,1,3,3,8,17,250,11.0
1092552,43639.66404,LCS,2019-2,Red,4,Red,Jungle,Lira,Clutch Gaming,29.08333333,0,0,3,4,8,17,162,8.24
1092552,43639.66404,LCS,2019-2,Red,4,Red,Middle,Damonte,Clutch Gaming,29.08333333,0,1,3,2,8,17,238,8.76
1092552,43639.66404,LCS,2019-2,Red,4,Red,ADC,Cody Sun,Clutch Gaming,29.08333333,0,6,5,1,8,17,224,19.48
1092552,43639.66404,LCS,2019-2,Red,4,Red,Support,Vulcan,Clutch Gaming,29.08333333,0,0,3,7,8,17,18,11.36
1092552,43639.66404,LCS,2019-2,Blue,4,Blue,Team,Team,Team Liquid,29.08333333,1,17,8,40,17,8,981,18.0
1092552,43639.66404,LCS,2019-2,Red,4,Red,Team,Team,Clutch Gaming,29.08333333,0,8,17,17,8,17,892,15.0
1092535,43618.60713,LCS,2019-2,Blue,1,Blue,Top,V1per,FlyQuest,30.5,0,3,1,2,5,9,238,16.759999999999998
1092535,43618.60713,LCS,2019-2,Blue,1,Blue,Jungle,Santorin,FlyQuest,30.5,0,1,2,4,5,9,154,12.08
1092535,43618.60713,LCS,2019-2,Blue,1,Blue,Middle,Pobelter,FlyQuest,30.5,0,0,2,3,5,9,287,9.74
1092535,43618.60713,LCS,2019-2,Blue,1,Blue,ADC,WildTurtle,FlyQuest,30.5,0,0,2,4,5,9,303,12.06
1092535,43618.60713,LCS,2019-2,Blue,1,Blue,Support,JayJ,FlyQuest,30.5,0,1,2,4,5,9,9,9.18
1092535,43618.60713,LCS,2019-2,Red,1,Red,Top,Hauntzer,Golden Guardians,30.5,1,1,3,4,9,5,259,13.18
1092535,43618.60713,LCS,2019-2,Red,1,Red,Jungle,Contractz,Golden Guardians,30.5,1,2,1,2,9,5,165,12.3
1092535,43618.60713,LCS,2019-2,Red,1,Red,Middle,Froggen,Golden Guardians,30.5,1,3,1,6,9,5,268,25.36
1092535,43618.60713,LCS,2019-2,Red,1,Red,ADC,Deftly,Golden Guardians,30.5,1,1,0,6,9,5,299,20.98
1092535,43618.60713,LCS,2019-2,Red,1,Red,Support,Olleh,Golden Guardians,30.5,1,2,0,6,9,5,72,19.44
1092535,43618.60713,LCS,2019-2,Blue,1,Blue,Team,Team,FlyQuest,30.5,0,5,9,17,5,9,991,1.0
1092535,43618.60713,LCS,2019-2,Red,1,Red,Team,Team,Golden Guardians,30.5,1,9,5,24,9,5,1063,26.0
1092517,43618.56182,LCS,2019-2,Blue,1,Blue,Top,Huni,Clutch Gaming,29.2,0,1,5,1,5,24,172,3.44
1092517,43618.56182,LCS,2019-2,Blue,1,Blue,Jungle,Lira,Clutch Gaming,29.2,0,1,5,2,5,24,145,4.9
1092517,43618.56182,LCS,2019-2,Blue,1,Blue,Middle,Damonte,Clutch Gaming,29.2,0,0,3,2,5,24,227,5.54
1092517,43618.56182,LCS,2019-2,Blue,1,Blue,ADC,Cody Sun,Clutch Gaming,29.2,0,3,5,2,5,24,223,12.46
1092517,43618.56182,LCS,2019-2,Blue,1,Blue,Support,Vulcan,Clutch Gaming,29.2,0,0,6,4,5,24,14,2.28
1092517,43618.56182,LCS,2019-2,Red,1,Red,Top,Licorice,Cloud9,29.2,1,8,0,13,24,5,247,56.94
1092517,43618.56182,LCS,2019-2,Red,1,Red,Jungle,Svenskeren,Cloud9,29.2,1,7,2,8,24,5,177,38.54
1092517,43618.56182,LCS,2019-2,Red,1,Red,Middle,Nisqy,Cloud9,29.2,1,5,0,9,24,5,224,37.48
1092517,43618.56182,LCS,2019-2,Red,1,Red,ADC,Sneaky,Cloud9,29.2,1,3,1,18,24,5,104,48.08
1092517,43618.56182,LCS,2019-2,Red,1,Red,Support,Zeyzal,Cloud9,29.2,1,1,2,17,24,5,95,38.9
1092517,43618.56182,LCS,2019-2,Blue,1,Blue,Team,Team,Clutch Gaming,29.2,0,5,24,11,5,24,781,9.0
1092517,43618.56182,LCS,2019-2,Red,1,Red,Team,Team,Cloud9,29.2,1,24,5,65,24,5,847,23.0
1092517,43639.58846,CBLoL,2019-2,Blue,4,Blue,Top,Wizer,KaBuM,30.56666667,1,1,3,6,18,5,249,16.98
1092517,43639.58846,CBLoL,2019-2,Blue,4,Blue,Jungle,Ranger,KaBuM,30.56666667,1,5,1,9,18,5,185,35.7
1092517,43639.58846,CBLoL,2019-2,Blue,4,Blue,Middle,dyNquedo,KaBuM,30.56666667,1,7,0,4,18,5,274,34.480000000000004
1092517,43639.58846,CBLoL,2019-2,Blue,4,Blue,ADC,DudsTheBoy,KaBuM,30.56666667,1,1,1,14,18,5,163,35.26
1092517,43639.58846,CBLoL,2019-2,Blue,4,Blue,Support,Ceos,KaBuM,30.56666667,1,4,0,11,18,5,128,38.56
1092517,43639.58846,CBLoL,2019-2,Red,4,Red,Top,klowny,Team One,30.56666667,0,2,5,0,5,18,195,4.9
1092517,43639.58846,CBLoL,2019-2,Red,4,Red,Jungle,4LaN,Team One,30.56666667,0,1,4,4,5,18,136,9.72
